Sample; LockDetected; TextDetected; TextScore; EncryptionDetected; Comment; TimedOut; Classified files
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/f3541a8578c3c4af0fdf839fdc27843d2f6e5d2351665bd917d70c0b5daad3ff.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/ac8f5cd8119949239a545aee712babcb2e1c0bdb2ed61f8c91f18109443f75ca.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/032fe944fad2c76b630be6ca1b823ea0eabb40aea35b3b39ac80b6a7f2f74366.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/2dffe5c3a54b5c17c8218b3f6935cb82c25d9f5e20eef35262cc965a4bc3431e.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/b48061f9f7b05b3dd5576e8ecdea619af9a497838d2e4e3cff6c42bcf985c6b5.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/65e5e0559d5c82b62cb5d14a73a503f6acb32952951333dd871cf8a35197b1ca.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/3b8a162c587d5c6442fea752ef9e1a90e2f63c5effd1bb38b6befdb47fa67f6b.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/68db1f65376bd3e75e559cbdb5b54e081ab19c09a296216c4300a6ed2abf8126.apk; false; true; 0,712744; false; "Threat: 0,503953, Porn: 0,383482, Law: 0,424437, Copyright: 0,500000, Moneypak: 0,400892"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/5d37f32ef393838f9f2dbd703bc50b48d31a1a6bd4579dbfd1afd5c57dbc7f73.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/74f6c880e6505aaad4a980ae95834f08e94a1102c143d16de6771accc3265028.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/f69534331d641eb493f737345616bb833a3bc7fd2276b208dc46fae59fb098ec.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
